f1,accuracy,recall,precision,auc,exp_idx,epsilon,gen_idx,engine,similarity
0.018897096718776842,0.6492230206989743,0.014300572022880915,0.027848101265822784,0.429903140637085,4,0.001,2,priv_bayes,0.5642998269913905
0.019227467811158798,0.649100178121737,0.014560582423296931,0.02829711975745326,0.4297836529464395,4,0.001,3,priv_bayes,0.5689884626803027
0.019237375472346274,0.6492844419875929,0.014560582423296931,0.02834008097165992,0.42994225197234665,4,0.001,4,priv_bayes,0.5667721097836881
0.3372989435614352,0.5723235673484429,0.46073842953718147,0.2660261222038733,0.5279830155811782,0,0.01,0,priv_bayes,0.7288371569259748
0.3252199962553829,0.5572753516368774,0.4516380655226209,0.25409596255119954,0.5167502212754372,0,0.01,1,priv_bayes,0.7277520141682791
0.39246556086589823,0.6018057858853879,0.5444617784711389,0.3068131868131868,0.5672633523756712,0,0.01,2,priv_bayes,0.7273527635310136
0.35782865583456425,0.5727535163687734,0.5039001560062403,0.27741196679072433,0.560461942402103,0,0.01,3,priv_bayes,0.7280437742493576
0.2701771182383916,0.5317855168601437,0.3668746749869995,0.21382027579936355,0.4975750867589991,0,0.01,4,priv_bayes,0.7285453968448964
0.2683776932826363,0.7163564891591425,0.2202288091523661,0.34347120843471207,0.5363589678287574,1,0.01,0,priv_bayes,0.7318622482929475
0.2718691000629327,0.7157422762729562,0.22464898595943839,0.34422310756972113,0.5361226793261518,1,0.01,1,priv_bayes,0.7260321652692895
0.2668764752163651,0.7138382163257785,0.2204888195527821,0.33798326026305303,0.5356695377585912,1,0.01,2,priv_bayes,0.7273118147477042
0.26374680306905374,0.7170935446225661,0.21450858034321374,0.34232365145228216,0.5350048018808569,1,0.01,3,priv_bayes,0.7299888414565482
0.26929084661043423,0.7126712118420244,0.22412896515860634,0.33724569640062596,0.5352949952336654,1,0.01,4,priv_bayes,0.7291801029861901
0.34048033941965306,0.4653276825747804,0.5842433697347894,0.2402437720517481,0.4970322640810739,2,0.01,0,priv_bayes,0.7288678685134568
0.36028614784305224,0.4562373318592224,0.6482059282371295,0.2494746322425698,0.5071160779684103,2,0.01,1,priv_bayes,0.7295128118505779
0.3841839994321005,0.46717032123333946,0.7035881435257411,0.26423200859291085,0.5424307386449057,2,0.01,2,priv_bayes,0.7293848469027363
0.3405120481927711,0.46207235427799276,0.5878835153406137,0.23966504133983463,0.49664353441849773,2,0.01,3,priv_bayes,0.730398329289641
0.3430673718096114,0.47355813524967755,0.5819032761310452,0.24323443104010434,0.49612392135411987,2,0.01,4,priv_bayes,0.7299888414565482
0.2479881406183821,0.5637860082304527,0.3044721788871555,0.20918185066095035,0.44616983875173266,3,0.01,0,priv_bayes,0.6898999825967671
0.25106089016086053,0.5338738406731773,0.33073322932917315,0.20232225226658185,0.4601814406311676,3,0.01,1,priv_bayes,0.6893727670116602
0.2748435054773083,0.5446225661814384,0.3653146125845034,0.22028849169018502,0.4986058131509016,3,0.01,2,priv_bayes,0.6896542898969114
0.23814229249011856,0.5264418647503225,0.31331253250130003,0.19206248007650623,0.4485155465728078,3,0.01,3,priv_bayes,0.6900125917508676
0.21294230156200192,0.5450525152017689,0.26053042121684866,0.18005390835579516,0.4643797251689022,3,0.01,4,priv_bayes,0.6887329422724527
0.3213606592013522,0.6054296419138874,0.3954758190327613,0.2706405693950178,0.5627599346032547,4,0.01,0,priv_bayes,0.7478425109793926
0.33886973780424107,0.6112646643326577,0.421736869474779,0.28321983586519994,0.5822364804523826,4,0.01,1,priv_bayes,0.7480063061126296
0.30307576894223553,0.6005773601130152,0.3676547061882475,0.2577939835916135,0.555883637034263,4,0.01,2,priv_bayes,0.747427904548386
0.3456188445527465,0.604139794852896,0.4425377015080603,0.2835249042145594,0.5762500938316584,4,0.01,3,priv_bayes,0.7466754706550782
0.28484651263694544,0.595049444137338,0.3413936557462299,0.24436999813884236,0.5304390527048505,4,0.01,4,priv_bayes,0.7483594893686721
0.41829004329004327,0.7358884589398685,0.40197607904316174,0.43598420755781164,0.7000013382119523,0,0.1,0,priv_bayes,0.9229702199973383
0.42872256016926735,0.7346600331674958,0.421476859074363,0.43622174381054896,0.6971975541667426,0,0.1,1,priv_bayes,0.9232363870888486
0.4296552642087049,0.7368097782691481,0.41965678627145087,0.4401418052904281,0.7023384835674891,0,0.1,2,priv_bayes,0.9205184115966955
0.42897536017234417,0.739512314968368,0.4141965678627145,0.4448478078748953,0.7090661768810921,0,0.1,3,priv_bayes,0.9204672256175588
